step_0,step_1,0_n0,0_n1,1_n1,1_n2,1_n3
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:O14558
UniProtKB:P15692
UniProtKB:Q92887",UMLS:C0596973
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P08913
UniProtKB:P15692
UniProtKB:Q92887",CHEMBL.COMPOUND:CHEMBL70
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P01019
UniProtKB:P15692
UniProtKB:Q92887",UMLS:C0304402
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P15692
UniProtKB:P16615
UniProtKB:Q92887",CHEMBL.COMPOUND:CHEMBL269732
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P15692
UniProtKB:Q92887
UniProtKB:Q96AD5",CHEBI:86971
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P01019
UniProtKB:P15692
UniProtKB:P55084",CHEMBL.COMPOUND:CHEMBL264374
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P15692
UniProtKB:P16615
UniProtKB:Q92887",CHEMBL.COMPOUND:CHEMBL1543
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P01019
UniProtKB:P15692
UniProtKB:Q92887",VANDF:4021759
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P01019
UniProtKB:P15692
UniProtKB:Q92887",CHEMBL.COMPOUND:CHEMBL1487
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:P08913
UniProtKB:P15692
UniProtKB:Q92887",CHEMBL.COMPOUND:CHEMBL4071382
icees-dili:MESH:D006760,arax:MESH:D006331,MESH:D006760,MESH:D006331,MONDO:0005267,"UniProtKB:O14558
UniProtKB:P15692
UniProtKB:Q96AD5",CHEMBL.COMPOUND:CHEMBL553204
